,Q4/2024,Q3/2024,Q2/2024,Q1/2024,Q4/2023,Q3/2023,Q2/2023,Q1/2023,Q4/2022,Q3/2022,Q2/2022,Q1/2022,Q4/2021,Q3/2021,Q2/2021,Q1/2021,Q4/2020,Q3/2020,Q2/2020,Q1/2020,Q4/2019,Q3/2019,Q2/2019,Q1/2019,Q4/2018,Q3/2018,Q2/2018,Q1/2018,Q4/2017,Q3/2017,Q2/2017,Q1/2017,Q4/2016,Q3/2016,Q2/2016,Q1/2016,Q4/2015,Q3/2015,Q2/2015,Q1/2015
    Nợ dài hạn,"1,436,299,546,037.00","1,247,766,001,418.00","1,196,511,155,588.00","1,264,421,071,488.00","709,640,675,212.00","656,605,379,125.00","642,126,793,723.00","636,477,445,725.00","1,778,196,752,621.00","2,373,472,362,591.00","2,467,815,712,684.00","2,504,272,082,956.00","2,464,879,747,669.00","2,029,562,969,654.00","1,933,314,509,743.00","1,775,945,290,314.00","764,559,047,657.00","1,024,243,783,717.00","1,017,288,035,899.00","947,824,795,904.00","492,617,960,249.00","621,256,515,747.00","454,227,047,873.00","506,381,843,684.00","530,946,393,936.00","555,978,690,573.00","498,908,528,396.00","587,125,681,879.00","660,955,923,353.00","891,020,914,323.00","1,157,276,470,811.00","1,187,924,745,410.00","992,503,940,259.00","1,087,653,567,278.00","1,128,412,481,633.00","1,104,289,940,442.00","1,000,017,015,289.00","698,935,899,162.00","317,988,405,822.00","519,083,313,646.00"
        Tăng trưởng Nợ dài hạn,102.40%,90.03%,86.34%,98.66%,-60.09%,-72.34%,-73.98%,-74.58%,-27.86%,16.94%,27.65%,41.01%,222.39%,98.15%,90.05%,87.37%,55.20%,64.87%,123.96%,87.18%,-7.22%,11.74%,-8.96%,-13.75%,-19.67%,-37.60%,-56.89%,-50.58%,-33.41%,-18.08%,2.56%,7.57%,-0.75%,55.62%,254.86%,112.74%,192.12%,120.36%,11.78%,74.63%
    Vốn chủ sở hữu,"35,796,626,418,970.00","35,364,184,226,425.00","32,736,443,248,309.00","31,727,101,031,164.00","29,948,354,954,414.00","28,405,655,629,698.00","28,595,327,883,064.00","27,061,179,213,990.00","25,342,980,745,741.00","24,055,768,329,616.00","23,411,673,147,375.00","22,959,401,841,586.00","21,420,176,642,404.00","20,324,133,210,432.00","20,057,528,192,945.00","19,730,300,427,822.00","18,602,713,492,420.00","18,181,401,005,669.00","17,903,725,993,024.00","17,630,689,477,471.00","16,874,812,057,207.00","16,251,130,384,160.00","15,805,435,862,648.00","15,532,763,194,118.00","14,762,809,390,565.00","14,164,808,741,956.00","13,885,569,289,074.00","13,899,836,341,958.00","13,234,938,291,819.00","13,033,786,478,347.00","12,150,225,730,065.00","11,980,477,116,409.00","11,448,010,605,115.00","10,963,289,004,606.00","10,910,392,824,269.00","10,643,070,630,248.00","10,178,236,925,166.00","9,972,170,612,015.00","9,924,212,429,284.00","8,380,860,246,563.00"
        Tăng trưởng vốn chủ sở hữu,19.53%,24.50%,14.48%,17.24%,18.17%,18.08%,22.14%,17.87%,18.31%,18.36%,16.72%,16.37%,15.15%,11.79%,12.03%,11.91%,10.24%,11.88%,13.28%,13.51%,14.31%,14.73%,13.83%,11.75%,11.54%,8.68%,14.28%,16.02%,15.61%,18.89%,11.36%,12.57%,12.48%,9.94%,9.94%,26.99%,28.68%,30.72%,30.79%,10.65%
    Vốn góp cổ phần,"14,710,691,830,000.00","14,604,480,660,000.00","14,604,480,660,000.00","12,699,688,750,000.00","12,699,688,750,000.00","12,699,688,750,000.00","11,043,316,220,000.00","10,970,265,720,000.00","10,970,265,720,000.00","10,970,265,720,000.00","10,970,265,720,000.00","9,075,516,490,000.00","9,075,516,490,000.00","9,075,516,490,000.00","9,075,516,490,000.00","7,839,874,860,000.00","7,839,874,860,000.00","7,839,874,860,000.00","7,839,874,860,000.00","6,817,504,780,000.00","6,783,586,880,000.00","6,783,586,880,000.00","6,783,586,880,000.00","6,136,367,720,000.00","6,136,367,720,000.00","6,136,367,720,000.00","6,136,367,720,000.00","5,309,611,050,000.00","5,309,611,050,000.00","5,309,611,050,000.00","5,309,611,050,000.00","4,594,266,840,000.00","4,594,266,840,000.00","4,594,266,840,000.00","4,594,266,840,000.00","3,975,316,400,000.00","3,975,316,400,000.00","3,975,316,400,000.00","3,975,316,400,000.00","3,439,766,000,000.00"
        Tăng trưởng vốn góp cổ phần,15.84%,15.00%,32.25%,15.76%,15.76%,15.76%,0.67%,20.88%,20.88%,20.88%,20.88%,15.76%,15.76%,15.76%,15.76%,15.00%,15.57%,15.57%,15.57%,11.10%,10.55%,10.55%,10.55%,15.57%,15.57%,15.57%,15.57%,15.57%,15.57%,15.57%,15.57%,15.57%,15.57%,15.57%,15.57%,15.57%,15.57%,15.57%,15.57%,24.99%
    P/E,26.89,27.02,24.72,20.59,19.32,18.65,16.18,16.68,15.61,18.96,21.11,19.31,21.79,22.06,18.29,16.53,12.77,11.26,11.24,11.79,12.24,12.09,11.06,10.37,8.10,8.52,10.06,10.92,13.17,12.50,10.79,10.45,9.95,10.23,10.21,9.81,11.14,10.69,10.41,10.22
    P/B,6.78,7.02,6.24,5.33,4.98,4.49,3.96,4.20,4.11,4.76,5.13,4.66,5.15,5.02,4.06,3.71,2.81,2.52,2.48,2.63,2.85,2.66,2.31,2.18,2.22,2.25,2.55,2.80,2.69,2.57,2.23,2.18,2.19,2.16,2.12,2.20,2.27,2.17,2.10,2.10
    EV/EBITDA,,13.73,12.43,9.97,9.45,9.16,8.02,8.02,7.71,9.43,10.61,9.17,10.42,10.49,8.75,7.58,5.71,5.15,5.38,5.43,6.07,5.82,5.22,4.68,4.00,4.07,4.86,5.09,6.04,5.77,5.32,4.91,4.91,5.46,5.59,5.58,6.30,5.90,5.89,5.49
    EPS (VNĐ/CP),"1,418.69","1,419.96","1,283.96","1,231.15","1,360.98","1,369.59","1,188.39","1,176.05","1,232.06","1,325.14","1,140.19","1,129.31","1,434.10","1,239.42","1,102.00",998.54,"1,245.50","1,184.95","1,120.94",953.06,"1,110.85","1,415.51","1,167.23",923.38,"1,275.43","1,181.51",968.59,829.61,"2,660.84","1,097.50",963.85,777.77,"1,432.15","1,018.43","1,123.35",752.57,"1,658.23",978.90,"1,148.91","1,068.47"
        Tăng trưởng EPS,4.24%,3.68%,8.04%,4.69%,10.46%,3.35%,4.23%,4.14%,-14.09%,6.92%,3.47%,13.10%,15.14%,4.60%,-1.69%,4.77%,12.12%,-16.29%,-3.97%,3.21%,-12.90%,19.81%,20.51%,11.30%,-52.07%,7.65%,0.49%,6.67%,85.79%,7.76%,-14.20%,3.35%,-13.63%,4.04%,-2.22%,-29.57%,26.57%,-13.48%,-7.60%,1.64%
    Giá trị sổ sách (VNĐ/CP),"20,300.16","20,184.50","18,820.48","18,374.07","19,677.77","18,609.97","19,016.73","17,786.73","19,172.15","18,135.65","17,829.49","17,487.07","19,770.51","18,713.57","18,498.56","18,334.38","19,950.91","19,215.08","19,083.02","18,803.61","20,596.13","20,021.08","19,627.78","19,297.37","20,208.49","19,350.32","19,169.74","19,469.63","21,414.88","20,024.40","18,848.12","18,744.25","20,633.06","19,720.79","19,745.69","19,451.37","21,495.41","21,222.02","21,346.30","21,086.62"
    Biên lợi nhuận gộp,36.80%,38.73%,37.07%,39.10%,38.34%,39.94%,37.12%,39.10%,40.19%,39.10%,38.06%,40.63%,38.25%,37.26%,39.81%,38.15%,40.05%,39.70%,38.99%,39.58%,37.82%,39.17%,37.77%,40.22%,36.98%,38.03%,36.55%,39.06%,22.81%,22.30%,24.45%,22.04%,22.48%,22.72%,21.58%,19.92%,20.66%,20.10%,19.32%,19.55%
    Biên EBIT,17.57%,19.10%,18.49%,18.96%,17.98%,19.58%,19.47%,19.42%,16.45%,19.68%,20.15%,19.78%,17.74%,20.16%,19.26%,19.73%,17.84%,19.48%,19.87%,18.73%,15.74%,20.68%,18.33%,18.23%,17.11%,18.43%,17.56%,17.41%,16.09%,8.93%,8.88%,8.03%,8.91%,8.80%,8.95%,7.40%,9.45%,7.07%,8.26%,7.94%
    Biên EBITDA,21.37%,23.15%,22.63%,23.34%,22.59%,23.63%,23.81%,23.79%,20.28%,23.77%,24.59%,24.20%,22.02%,24.89%,23.73%,24.82%,22.32%,24.41%,25.15%,24.19%,20.00%,25.56%,23.21%,23.85%,21.33%,23.58%,22.79%,23.18%,18.46%,11.26%,11.40%,10.59%,10.98%,11.44%,11.30%,9.85%,12.06%,8.26%,10.22%,9.82%
    Biên lợi nhuận ròng,14.16%,15.59%,15.01%,15.33%,13.96%,15.08%,14.86%,15.49%,12.42%,15.75%,15.47%,15.81%,14.57%,15.75%,14.58%,15.17%,14.45%,15.21%,15.53%,14.13%,11.97%,16.32%,14.45%,14.01%,13.33%,14.75%,13.87%,13.74%,12.54%,6.87%,6.74%,5.74%,6.71%,6.84%,7.03%,5.27%,7.47%,5.45%,6.33%,6.33%
    ROE LTM,28.66%,28.16%,27.96%,27.70%,28.19%,28.06%,27.08%,26.98%,27.70%,28.91%,27.76%,26.86%,26.71%,26.17%,25.35%,24.82%,24.93%,24.06%,24.64%,24.45%,24.73%,25.42%,24.23%,22.90%,23.06%,28.45%,28.60%,28.09%,28.54%,23.22%,23.50%,23.60%,23.82%,24.12%,22.81%,24.57%,26.95%,24.89%,24.84%,26.85%
    ROA LTM,14.24%,13.84%,13.63%,14.44%,13.92%,12.56%,12.05%,12.69%,12.29%,12.41%,11.69%,11.46%,11.20%,11.71%,11.61%,11.75%,11.73%,11.83%,12.53%,12.84%,12.34%,12.81%,12.70%,12.54%,11.79%,13.39%,13.70%,13.71%,12.82%,9.94%,10.15%,10.13%,9.22%,10.08%,9.92%,9.97%,10.02%,10.04%,10.78%,10.80%
    Vòng quay tài sản (vòng),0.25,0.24,0.24,0.23,0.24,0.22,0.22,0.23,0.24,0.20,0.18,0.18,0.21,0.18,0.19,0.18,0.22,0.21,0.20,0.19,0.25,0.23,0.23,0.19,0.24,0.22,0.21,0.19,0.46,0.38,0.35,0.33,0.44,0.38,0.36,0.33,0.42,0.41,0.42,0.39
    Hiệu suất sử dụng tài sản cố định,0.64,0.59,0.59,0.56,0.60,0.59,0.56,0.54,0.62,0.56,0.53,0.52,0.62,0.55,0.56,0.50,0.60,0.55,0.52,0.50,0.62,0.57,0.57,0.49,0.64,0.60,0.56,0.50,1.37,1.25,1.15,1.07,1.45,1.18,1.12,1.10,1.41,1.36,1.44,1.43
    Số ngày thu tiền khách hàng (ngày),233.34,255.62,250.56,251.42,232.80,237.21,250.05,263.01,220.32,233.32,247.70,253.91,217.87,256.80,250.39,283.68,245.47,266.94,295.11,326.56,269.72,302.03,293.72,354.07,276.98,279.20,301.15,373.09,164.26,195.57,193.38,206.72,157.25,181.16,177.03,190.32,159.04,167.12,169.77,183.64
    Số ngày xử lý hàng tồn kho (ngày),63.87,73.84,71.14,73.36,67.51,83.59,95.63,103.93,97.18,118.16,118.18,105.81,95.60,126.84,122.38,113.91,90.82,104.02,107.58,113.61,97.93,123.89,127.78,151.20,120.21,137.66,129.11,137.64,102.11,185.91,218.89,232.83,170.83,221.72,254.13,279.05,220.51,228.90,233.93,247.04
    Số ngày phải trả nhà cung cấp (ngày),141.75,143.22,148.99,149.89,126.78,139.97,152.05,179.24,171.20,182.90,186.19,213.97,178.89,223.98,241.91,248.97,204.02,196.54,206.67,249.00,197.78,212.11,214.06,285.52,226.63,229.59,234.52,323.04,127.94,160.99,156.76,184.38,154.08,160.19,155.95,168.35,144.00,172.50,167.42,171.02
    Vòng quay tiền mặt (ngày),155.46,186.24,172.72,174.90,173.54,180.83,193.62,187.71,146.30,168.59,179.69,145.74,134.58,159.66,130.87,148.62,132.28,174.41,196.02,191.18,169.87,213.81,207.43,219.75,170.57,187.27,195.74,187.69,138.43,220.50,255.50,255.16,173.99,242.69,275.21,301.03,235.55,223.52,236.29,259.66
    Nợ phải trả / Vốn chủ sở hữu,101.17%,91.10%,99.43%,95.49%,101.43%,118.66%,111.66%,87.51%,103.83%,129.16%,140.46%,142.17%,150.68%,137.38%,134.23%,125.41%,124.43%,107.67%,100.59%,95.21%,99.46%,98.61%,92.19%,85.08%,101.36%,98.24%,89.31%,79.94%,89.08%,127.82%,130.83%,133.75%,161.29%,140.78%,132.30%,132.03%,155.28%,137.43%,127.54%,147.51%
"    Vay và nợ thuê tài chính ngắn hạn, dài hạn / Vốn chủ sở hữu",41.76%,41.41%,50.41%,52.04%,46.90%,67.28%,68.27%,45.66%,48.86%,76.20%,93.38%,98.89%,93.82%,87.39%,85.56%,83.52%,68.49%,60.55%,57.95%,56.09%,46.61%,53.24%,47.78%,44.63%,47.21%,49.55%,45.92%,39.46%,35.38%,65.85%,72.88%,82.74%,86.82%,77.80%,76.22%,76.79%,86.52%,76.64%,63.89%,82.53%
    Nợ vay ròng / Vốn chủ sở hữu,-45.13%,-36.00%,-31.31%,-25.41%,-34.52%,-26.97%,-25.06%,-17.72%,-27.99%,-24.09%,-20.84%,-16.23%,-28.26%,-18.40%,-16.70%,-13.89%,-23.55%,-18.09%,-14.68%,-5.36%,-14.04%,-5.43%,-9.00%,-9.49%,-17.10%,-14.33%,-18.36%,-17.19%,-24.01%,-0.91%,7.54%,13.93%,3.78%,8.63%,15.62%,23.67%,25.17%,27.22%,21.22%,24.13%
    Tổng tài sản / Vốn chủ sở hữu,2.01,2.03,2.05,1.92,2.03,2.23,2.25,2.13,2.25,2.33,2.38,2.34,2.38,2.23,2.18,2.11,2.13,2.03,1.97,1.90,2.00,1.98,1.91,1.83,1.96,2.12,2.09,2.05,2.23,2.34,2.32,2.33,2.58,2.39,2.30,2.47,2.69,2.48,2.30,2.49
    Khả năng thanh toán tổng quát,1.99,2.10,2.01,2.05,1.99,1.84,1.90,2.14,1.96,1.77,1.71,1.70,1.66,1.73,1.74,1.80,1.80,1.93,1.99,2.05,2.01,2.01,2.08,2.18,1.99,2.02,2.12,2.25,2.12,1.78,1.76,1.75,1.62,1.71,1.76,1.76,1.64,1.73,1.78,1.80
    Khả năng thanh toán nhanh,1.25,1.31,1.24,1.23,1.18,1.14,1.17,1.19,1.18,1.15,1.15,1.15,1.13,1.11,1.11,1.14,1.09,1.14,1.16,1.16,1.09,1.10,1.16,1.22,1.18,1.19,1.30,1.40,1.35,1.10,1.09,1.04,1.00,1.01,0.99,0.96,0.94,0.93,0.93,0.97
    Khả năng thanh toán tức thời,0.89,0.88,0.85,0.85,0.82,0.81,0.85,0.74,0.79,0.84,0.88,0.88,0.88,0.83,0.82,0.84,0.76,0.77,0.77,0.68,0.63,0.62,0.64,0.66,0.66,0.68,0.75,0.75,0.71,0.55,0.54,0.56,0.54,0.53,0.50,0.44,0.42,0.38,0.34,0.41
    Khả năng thanh toán lãi vay,27.90,28.58,22.98,23.86,16.06,12.24,14.00,18.78,16.90,15.91,14.04,16.15,17.07,18.07,16.47,18.86,19.63,21.49,17.32,16.10,13.45,18.06,21.88,18.59,19.83,22.94,22.64,23.73,32.75,14.33,11.32,8.83,13.28,10.70,9.44,13.07,11.98,14.36,14.53,20.78
    Vốn hóa (Tỷ đồng),"206,391,006,374,900.00","221,248,805,123,200.00","196,430,264,877,000.00","198,766,981,782,600.00","142,998,495,325,000.00","120,266,052,462,500.00","122,424,999,550,000.00","95,629,596,784,500.00","86,884,504,502,400.00","84,141,938,072,400.00","80,082,939,756,000.00","93,356,961,277,200.00","100,828,988,203,900.00","78,503,217,638,500.00","87,298,544,062,600.00","84,576,136,243,600.00","65,496,534,874,000.00","52,521,642,370,000.00","41,390,189,808,000.00","34,922,972,650,500.00","34,560,572,771,400.00","38,322,611,628,000.00","39,204,370,833,600.00","32,421,607,713,600.00","30,553,600,081,800.00","26,505,549,907,200.00","25,155,730,236,000.00","26,566,905,346,800.00","30,411,397,245,000.00","33,976,238,656,000.00","26,650,112,195,800.00","25,774,162,292,950.00","21,443,209,493,100.00","20,532,690,567,600.00","20,027,411,828,800.00","18,833,116,628,000.00","19,412,594,119,800.00","18,640,370,481,600.00","20,468,637,096,000.00","18,799,350,187,200.00"
    Số lượng cổ phiếu lưu hành (Triệu CP),"1,471,069,183.00","1,471,069,183.00","1,460,448,066.00","1,460,448,066.00","1,269,968,875.00","1,269,968,875.00","1,269,968,875.00","1,269,981,365.00","1,097,026,572.00","1,097,026,572.00","1,097,026,572.00","1,097,026,572.00","907,551,649.00","907,551,649.00","907,469,273.00","907,469,273.00","789,114,878.00","783,905,110.00","783,905,110.00","783,905,110.00","681,668,102.00","678,276,312.00","678,276,312.00","678,276,312.00","616,621,596.00","613,554,396.00","613,554,396.00","613,554,396.00","533,533,285.00","530,878,729.00","530,878,729.00","530,878,729.00","461,640,678.00","459,344,308.00","459,344,308.00","459,344,308.00","399,436,093.00","397,449,264.00","397,449,264.00","397,449,264.00"